participant_id,condition,privacy_awareness,social_competence,embarrassment
CI-P0,Context-Invariant,3.5,2.5,1.0
CI-P1,Context-Invariant,1.0,1.75,6.0
CI-P2,Context-Invariant,4.0,5.5,3.3333333333333300
CI-P3,Context-Invariant,1.0,2.0,7.0
CI-P4,Context-Invariant,7.0,5.5,1.0
CI-P5,Context-Invariant,1.0,1.25,7.0
CI-P6,Context-Invariant,5.5,2.25,4.0
CI-P7,Context-Invariant,5.5,5.0,1.6666666666666700
CI-P8,Context-Invariant,2.5,3.25,3.0
CI-P9,Context-Invariant,4.25,2.75,2.3333333333333300
CI-P10,Context-Invariant,2.5,5.5,1.0
CI-P11,Context-Invariant,4.5,5.0,5.0
CI-P12,Context-Invariant,4.0,5.0,4.333333333333330
CI-P13,Context-Invariant,2.25,3.25,4.333333333333330
CI-P14,Context-Invariant,3.0,2.25,4.333333333333330
CI-P15,Context-Invariant,1.0,1.0,7.0
CI-P16,Context-Invariant,4.0,3.0,3.6666666666666700
CI-P17,Context-Invariant,4.75,4.75,4.0
CI-P18,Context-Invariant,4.0,6.25,1.0
CI-P19,Context-Invariant,2.0,2.75,6.0
CA-P0,Context-Adaptive,7.0,5.5,5.0
CA-P1,Context-Adaptive,6.0,6.5,5.0
CA-P2,Context-Adaptive,3.75,3.75,5.333333333333330
CA-P3,Context-Adaptive,7.0,6.5,1.0
CA-P4,Context-Adaptive,6.0,4.0,4.0
CA-P5,Context-Adaptive,2.75,4.0,2.6666666666666700
CA-P6,Context-Adaptive,6.5,6.0,1.0
CA-P7,Context-Adaptive,7.0,6.25,4.666666666666670
CA-P8,Context-Adaptive,4.5,3.5,2.0
CA-P9,Context-Adaptive,5.5,5.0,3.0
CA-P10,Context-Adaptive,4.5,3.5,1.6666666666666700
CA-P11,Context-Adaptive,7.0,6.0,3.6666666666666700
CA-P12,Context-Adaptive,6.25,4.5,1.0
CA-P13,Context-Adaptive,6.25,5.75,1.0
CA-P14,Context-Adaptive,4.75,4.5,1.6666666666666700
CA-P15,Context-Adaptive,7.0,3.25,4.333333333333330
CA-P16,Context-Adaptive,6.25,5.0,1.6666666666666700
CA-P17,Context-Adaptive,5.25,2.5,4.0
CA-P18,Context-Adaptive,7.0,6.25,1.0
CA-P19,Context-Adaptive,6.5,4.75,1.3333333333333300
